     experiment device  batch_size  seq_length    precision compiled  mean_latency_ms  std_latency_ms  tokens_per_sec  peak_memory_mb  cpu_utilization_percent  gpu_utilization_percent
       baseline    cpu           1          32         fp32       no        326.36748       77.868176       98.048985     1719.910400                    14.87                      0.0
       baseline    cpu           1         128         fp32       no        548.22123       76.250071      233.482384     1744.896000                    15.64                      0.0
       baseline    cpu           1         256         fp32       no        729.32298       39.554286      351.010467     1785.094144                    15.60                      0.0
       baseline   cuda           1          32         fp32       no         30.66875       13.524223     1043.407377      343.953408                     9.20                     20.8
       baseline   cuda           1         128         fp32       no         22.41594        3.326956     5710.222279      363.548160                     5.28                     23.9
       baseline   cuda           1         256         fp32       no         81.44769       67.752215     3143.121677      389.675008                     5.84                     63.3
     batch_size    cpu           1         128         fp32       no        555.35966       64.224385      230.481270     4901.277696                    14.10                      0.0
     batch_size    cpu           2         128         fp32       no        686.14068       97.073093      373.101330     4931.985408                    15.13                      0.0
     batch_size    cpu           4         128         fp32       no       1216.78022       72.843339      420.782646     4879.994880                    20.58                      0.0
     batch_size    cpu           8         128         fp32       no       2043.23356      113.319924      501.166396     5087.674368                    26.29                      0.0
     batch_size    cpu          16         128         fp32       no       4183.19164      161.040568      489.578335     5292.662784                    30.36                      0.0
     batch_size   cuda           1         128         fp32       no         66.50603       59.092792     1924.637510      363.548160                     4.96                     56.7
     batch_size   cuda           2         128         fp32       no         74.63487       71.821535     3430.032102      389.470720                     6.09                     54.4
     batch_size   cuda           4         128         fp32       no        131.15996       70.641319     3903.630346      442.490880                     8.45                     69.0
     batch_size   cuda           8         128         fp32       no        231.92092      109.163899     4415.298111      545.007104                     8.72                     82.1
     batch_size   cuda          16         128         fp32       no        337.25007       51.779685     6072.645144      752.844800                     6.59                     90.2
sequence_length    cpu           1          32         fp32       no        295.16077       95.678330      108.415492     4926.849024                    14.13                      0.0
sequence_length    cpu           1         128         fp32       no        493.91206       60.521255      259.155446     4946.685952                    15.91                      0.0
sequence_length    cpu           1         256         fp32       no        621.68683       49.917289      411.782891     4979.544064                    16.07                      0.0
sequence_length   cuda           1          32         fp32       no         25.06279       16.023574     1276.793206      343.953408                     8.06                     33.0
sequence_length   cuda           1         128         fp32       no         25.72039        2.064939     4976.596389      363.548160                     7.02                     19.2
sequence_length   cuda           1         256         fp32       no         35.01408        1.531649     7311.344464      389.675008                     6.47                     39.1
      precision    cpu           4         128         fp32       no       1187.04594       54.728301      431.322818     4916.584448                    20.16                      0.0
      precision    cpu           4         128 int8_dynamic       no       1079.03790       70.749482      474.496772     5462.937600                    19.89                      0.0
      precision   cuda           4         128         fp32       no        124.74132       91.647886     4104.494004      442.490880                     6.16                     69.8
      precision   cuda           4         128         fp16       no         48.11916       48.328307    10640.252241      560.515584                     6.01                     41.0
      precision   cuda           4         128         bf16       no         78.00477       76.573968     6563.701169      728.541696                     6.13                     61.1
    compilation    cpu           4          32         fp32       no        301.79042      151.247352      424.135398     4977.627136                    14.46                      0.0
    compilation    cpu           4          32         fp32       no        541.02773       74.302443      236.586764     5492.719616                    14.32                      0.0
    compilation    cpu           4         128         fp32       no       1154.65983       81.314869      443.420639     5461.065728                    21.66                      0.0
    compilation    cpu           4         128         fp32       no       1126.02476       78.024549      454.696929     5573.316608                    21.43                      0.0
    compilation    cpu           4         256         fp32       no       1993.53386      119.006627      513.660701     5678.780416                    25.72                      0.0
    compilation    cpu           4         256         fp32       no       2026.27417       76.132069      505.361029     5681.467392                    26.07                      0.0
    compilation   cuda           4          32         fp32       no        110.90036       60.224765     1154.189220      363.173888                     6.55                     65.8
    compilation   cuda           4          32         fp32       no         61.95026       58.352608     2066.173734     1020.456960                     5.63                     66.2
    compilation   cuda           4         128         fp32       no        132.93674       87.081283     3851.455963     1098.868736                     6.24                     77.3
    compilation   cuda           4         128         fp32       no        120.36147       64.845719     4253.852998     1100.974080                     8.15                     75.7
    compilation   cuda           4         256         fp32       no        188.04026       75.705694     5445.642332     1203.197952                     6.71                     79.5
    compilation   cuda           4         256         fp32       no        158.39776       45.408192     6464.737885     1207.907328                     7.85                     76.2
