     experiment device  batch_size  seq_length    precision compiled  mean_latency_ms  std_latency_ms  tokens_per_sec  peak_memory_mb  cpu_utilization_percent  gpu_utilization_percent
       baseline    cpu           1          32         fp32       no        174.04936      161.225414      183.855890     1728.708608                     5.77                      0.0
       baseline    cpu           1         128         fp32       no        325.21518      169.184952      393.585564     1754.071040                    12.79                      0.0
       baseline    cpu           1         256         fp32       no        429.93042      218.536020      595.445189     1795.235840                    12.66                      0.0
       baseline   cuda           1          32         fp32       no         24.99047        5.140533     1280.488122      343.953408                     6.41                     12.0
       baseline   cuda           1         128         fp32       no         31.22679        3.507463     4099.044443      363.548160                     3.84                     34.3
       baseline   cuda           1         256         fp32       no         59.12002       10.101440     4330.174449      389.675008                     6.86                     44.6
     batch_size    cpu           1         128         fp32       no        787.57875       59.658654      162.523430     4915.712000                    14.52                      0.0
     batch_size    cpu           2         128         fp32       no        917.63904      118.530823      278.976797     4946.378752                    17.04                      0.0
     batch_size    cpu           4         128         fp32       no       1501.97169       70.200129      340.885253     4890.234880                    21.00                      0.0
     batch_size    cpu           8         128         fp32       no       2404.43926       76.339496      425.878922     5098.188800                    27.53                      0.0
     batch_size    cpu          16         128         fp32       no       4488.41276      370.921849      456.286021     5303.308288                    31.29                      0.0
     batch_size   cuda           1         128         fp32       no         19.71157        6.044836     6493.648147      363.548160                     4.44                     20.6
     batch_size   cuda           2         128         fp32       no         18.42266        3.409192    13895.930339      389.470720                     6.60                     13.4
     batch_size   cuda           4         128         fp32       no         41.49034        5.150738    12340.221845      442.490880                     4.87                     41.9
     batch_size   cuda           8         128         fp32       no         79.33798       18.277121    12906.807055      545.007104                     6.02                     51.1
     batch_size   cuda          16         128         fp32       no        119.37350        5.182351    17156.236518      752.844800                     8.34                     63.1
sequence_length    cpu           1          32         fp32       no        141.16148      120.814141      226.690737     4935.102464                     4.81                      0.0
sequence_length    cpu           1         128         fp32       no        794.55145       57.212002      161.097183     4958.081024                    13.95                      0.0
sequence_length    cpu           1         256         fp32       no        802.75237      120.620537      318.902827     4982.870016                    23.13                      0.0
sequence_length   cuda           1          32         fp32       no         25.58525       12.148862     1250.720630      343.953408                     6.53                     23.6
sequence_length   cuda           1         128         fp32       no         35.50600       18.365562     3605.024503      363.548160                     6.88                     11.3
sequence_length   cuda           1         256         fp32       no         22.22046        7.379914    11520.913609      389.675008                     5.98                     26.9
      precision    cpu           4         128         fp32       no       1442.94147      118.939776      354.830747     4927.311872                    22.03                      0.0
      precision    cpu           4         128 int8_dynamic       no       1425.37424       83.087460      359.203910     5432.958976                    19.83                      0.0
      precision   cuda           4         128         fp32       no         36.98540       10.913430    13843.300330      442.490880                     5.87                     44.8
      precision   cuda           4         128         fp16       no         38.66802        2.167406    13240.915878      560.515584                     8.45                     26.7
      precision   cuda           4         128         bf16       no         24.66916       20.641458    20754.658856      728.541696                     7.51                     17.4
    compilation    cpu           4          32         fp32       no        592.63940      158.207528      215.982940     4991.102976                    16.10                      0.0
    compilation    cpu           4          32         fp32       no        729.04600       37.019280      175.571912     5509.414912                    12.68                      0.0
    compilation    cpu           4         128         fp32       no       1386.90559      273.599757      369.167162     5586.083840                    23.40                      0.3
    compilation    cpu           4         128         fp32       no       1006.20448      374.030351      508.842894     5603.373056                    23.95                      0.0
    compilation    cpu           4         256         fp32       no       2044.44819       96.959101      500.868648     5694.300160                    27.99                      0.0
    compilation    cpu           4         256         fp32       no       2001.39911       66.156959      511.642078     5702.004736                    25.82                      0.0
    compilation   cuda           4          32         fp32       no         53.84856       46.589930     2377.036638      363.173888                     6.16                     56.7
    compilation   cuda           4          32         fp32       no         96.25362       58.918122     1329.820115     1020.456960                     5.66                     61.4
    compilation   cuda           4         128         fp32       no        123.20712       86.033183     4155.603994     1098.868736                     5.83                     65.6
    compilation   cuda           4         128         fp32       no        107.50835       58.575233     4762.420779     1100.974080                     7.57                     68.1
    compilation   cuda           4         256         fp32       no        219.06458      105.626200     4674.420666     1203.197952                     5.95                     83.3
    compilation   cuda           4         256         fp32       no        215.42586       78.162673     4753.375477     1207.907328                     6.84                     82.3
