     experiment device  batch_size  seq_length    precision compiled  mean_latency_ms  std_latency_ms  tokens_per_sec  peak_memory_mb  cpu_utilization_percent  gpu_utilization_percent
       baseline    cpu           1          32         fp32       no        172.30959      188.751959      185.712240     1721.536512                     6.27                      0.0
       baseline    cpu           1         128         fp32       no        767.68908      100.142011      166.734168     1747.533824                    11.63                      0.0
       baseline    cpu           1         256         fp32       no       1017.72842       97.687938      251.540583     1736.564736                    12.70                      0.0
       baseline   cuda           1          32         fp32       no         56.91110        0.690719      562.280469      343.953408                     3.34                     47.8
       baseline   cuda           1         128         fp32       no         22.14921       19.610262     5778.987151      363.548160                     2.67                     26.0
       baseline   cuda           1         256         fp32       no         23.88503        6.944578    10718.010402      389.675008                     4.74                     15.6
     batch_size    cpu           1         128         fp32       no        785.63515      111.178618      162.925500     4902.846464                    14.50                      0.0
     batch_size    cpu           2         128         fp32       no        981.37003       98.181769      260.859810     4875.472896                    15.90                      0.0
     batch_size    cpu           4         128         fp32       no       1452.71584      117.755439      352.443324     4877.434880                    21.81                      0.0
     batch_size    cpu           8         128         fp32       no       2447.56058       82.013239      418.375753     5085.388800                    26.03                      0.0
     batch_size    cpu          16         128         fp32       no       4812.56854      115.613671      425.552381     5290.360832                    30.12                      0.0
     batch_size   cuda           1         128         fp32       no         22.63091        6.625974     5655.981134      363.548160                     3.99                     19.2
     batch_size   cuda           2         128         fp32       no         20.64120        8.710193    12402.379708      389.470720                     3.79                     10.6
     batch_size   cuda           4         128         fp32       no         24.32813        8.267746    21045.596188      442.490880                     6.24                     33.6
     batch_size   cuda           8         128         fp32       no         40.78539        7.340105    25107.029747      545.007104                     5.06                     46.7
     batch_size   cuda          16         128         fp32       no        122.41394       15.275037    16730.120769      752.844800                     8.06                     58.5
sequence_length    cpu           1          32         fp32       no        531.35920      146.409963       60.222915     4924.227584                    12.36                      0.0
sequence_length    cpu           1         128         fp32       no        767.87881       91.263972      166.692971     4947.415040                    14.25                      0.0
sequence_length    cpu           1         256         fp32       no       1037.56156       86.423577      246.732348     4921.991168                    14.94                      0.0
sequence_length   cuda           1          32         fp32       no         58.35541        1.443471      548.363896      343.953408                     5.43                     45.5
sequence_length   cuda           1         128         fp32       no         22.71583       19.545196     5634.837028      363.548160                     4.35                     22.6
sequence_length   cuda           1         256         fp32       no         21.03501        5.107126    12170.186752      389.675008                     3.57                     11.1
      precision    cpu           4         128         fp32       no       1340.93314       78.558730      381.823660     4921.868288                    24.39                      0.0
      precision    cpu           4         128 int8_dynamic       no       1310.38312       58.393568      390.725424     5426.216960                    23.19                      0.0
      precision   cuda           4         128         fp32       no         27.26156        7.268224    18781.023536      442.490880                    11.22                     23.0
      precision   cuda           4         128         fp16       no         35.72370        3.473162    14332.222027      560.515584                     6.48                     32.7
      precision   cuda           4         128         bf16       no         25.61267        5.059943    19990.106457      728.541696                     8.54                      9.0
    compilation    cpu           4          32         fp32       no        684.68713       87.830936      186.946701     4978.429952                    20.28                      0.0
    compilation    cpu           4          32         fp32       no        670.06753       47.246197      191.025522     5353.627648                    17.47                      0.0
    compilation    cpu           4         128         fp32       no       1396.08258       96.959053      366.740483     5321.551872                    27.10                      0.0
    compilation    cpu           4         128         fp32       no       1486.92472      271.115776      344.334850     5453.123584                    19.86                      0.0
    compilation    cpu           4         256         fp32       no       2566.43442       77.318989      398.997143     5552.488448                    25.83                      0.0
    compilation    cpu           4         256         fp32       no       2543.78683       59.110865      402.549454     5547.474944                    26.15                      0.0
    compilation   cuda           4          32         fp32       no         18.00883        2.954783     7107.624425      363.173888                     2.02                     21.9
    compilation   cuda           4          32         fp32       no         26.93066       11.823866     4752.947013     1020.076032                     6.65                     21.6
    compilation   cuda           4         128         fp32       no         28.58892        2.257776    17909.036090     1098.868736                     3.60                     25.3
    compilation   cuda           4         128         fp32       no         28.82089        4.118984    17764.892064     1098.874880                     2.03                     36.4
    compilation   cuda           4         256         fp32       no         74.08002       12.917670    13822.890437     1203.195904                     3.65                     53.0
    compilation   cuda           4         256         fp32       no         64.90096       28.767282    15777.886798     1204.771840                     3.24                     54.5
