op_name,count,self_cpu_time_ms,cpu_time_ms,self_cuda_time_ms,cuda_time_ms,cpu_memory_mb,cuda_memory_mb
cudaStreamIsCapturing,8,0.01809800000000152,0.01809800000000152,0.0,0.0,0.0,0.0
Activity Buffer Request,1,0.6197590000000001,0.6197590000000001,0.0,0.0,0.0,0.0
aten::view,108,0.14562100000000522,0.14562100000000522,0.0,0.0,0.0,0.0
aten::embedding,2,0.02472399999999982,0.9695410000000001,0.0,0.0,0.0,0.0
aten::reshape,9,0.019055000000000745,0.0305720000000008,0.0,0.0,0.0,0.0
aten::index_select,2,0.055154999999999975,0.9325240000000001,0.0,0.0,0.0,0.0
aten::empty,66,0.2905949999999993,0.2905949999999993,0.0,0.0,9.6e-05,0.0
aten::resize_,3,0.028586999999999987,0.028586999999999987,0.0,0.0,0.0,0.0
aten::expand,2,0.01140000000000009,0.014822000000000116,0.0,0.0,0.0,0.0
aten::as_strided,77,0.0685719999999967,0.0685719999999967,0.0,0.0,0.0,0.0
aten::gather,2,0.06190899999999965,0.8214809999999998,0.0,0.0,0.0,0.0
cudaLaunchKernel,110,1.7635689999999966,1.7635689999999966,0.0,0.0,0.0,0.0
aten::arange,2,0.021261000000000422,0.08609300000000007,0.0,0.0,0.0,0.0
aten::unsqueeze,1,0.005422999999999774,0.008133999999999787,0.0,0.0,0.0,0.0
aten::to,8,0.009072999999999411,0.10252999999999975,0.0,0.0,0.0,0.0
aten::add,25,0.30104999999999743,0.4975129999999981,0.0,0.0,0.0,0.0
aten::_to_copy,1,0.010992000000000644,0.09345700000000033,0.0,0.0,0.0,0.0
aten::empty_strided,1,0.00885799999999972,0.00885799999999972,0.0,0.0,0.0,0.0
aten::copy_,1,0.0202800000000002,0.07360699999999996,0.0,0.0,0.0,0.0
aten::all,1,0.03377599999999938,0.05123499999999967,0.0,0.0,0.0,0.0
aten::is_nonzero,1,0.003549999999999727,0.051835000000000034,0.0,0.0,0.0,0.0
aten::item,1,0.0037540000000003603,0.04828500000000031,0.0,0.0,0.0,0.0
aten::_local_scalar_dense,1,0.013437999999999646,0.044530999999999946,0.0,0.0,0.0,0.0
cudaMemcpyAsync,1,0.02301299999999992,0.02301299999999992,0.0,0.0,0.0,0.0
cudaStreamSynchronize,1,0.008080000000000382,0.008080000000000382,0.0,0.0,0.0,0.0
[memory],159,0.0,0.0,0.0,0.0,0.0,0.0
aten::dropout,13,0.01552199999999857,0.01552199999999857,0.0,0.0,0.0,0.0
aten::layer_norm,13,0.10766000000000077,0.7355759999999987,0.0,0.0,0.0,0.0
aten::native_layer_norm,13,0.2998950000000004,0.6279159999999979,0.0,0.0,0.0,0.0
aten::addmm,24,0.8301260000000007,1.1768579999999984,0.0,0.0,0.0,0.0
aten::split,6,0.027017999999999574,0.12998099999999976,0.0,0.0,0.0,0.0
aten::narrow,18,0.03839300000000048,0.1029630000000002,0.0,0.0,0.0,0.0
aten::slice,19,0.04925100000000202,0.06765999999999986,0.0,0.0,0.0,0.0
aten::transpose,49,0.11448400000000447,0.1526010000000042,0.0,0.0,0.0,0.0
aten::scaled_dot_product_attention,6,0.07824500000000034,0.4988789999999999,0.0,0.0,0.0,0.0
aten::_scaled_dot_product_efficient_attention,6,0.057840999999998075,0.42063399999999956,0.0,0.0,9.6e-05,0.0
aten::_efficient_attention_forward,6,0.1010329999999999,0.2924429999999993,0.0,0.0,9.6e-05,0.0
cudaMemsetAsync,12,0.1010999999999981,0.1010999999999981,0.0,0.0,0.0,0.0
cudaOccupancyMaxActiveBlocksPerMultiprocessor,13,0.024059000000000195,0.024059000000000195,0.0,0.0,0.0,0.0
aten::mul,24,0.2573109999999974,0.426694999999997,0.0,0.0,0.0,0.0
aten::pow,6,0.11642500000000428,0.17662999999999965,0.0,0.0,0.0,0.0
aten::result_type,6,0.0043839999999959215,0.0043839999999959215,0.0,0.0,0.0,0.0
aten::tanh,6,0.05168700000000081,0.09262499999999954,0.0,0.0,0.0,0.0
"fmha_cutlassF_f32_aligned_64x64_rf_sm75(PyTorchMemEffAttention::AttentionKernel<float, cutlass::arch::Sm75, true, 64, 64, 64, true, true>::Params)",6,0.0,0.0,0.0,0.0,0.0,0.0
Memset (Device),12,0.0,0.0,0.0,0.0,0.0,0.0
volta_sgemm_128x64_nn,23,0.0,0.0,0.0,0.0,0.0,0.0
"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul> >(int, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul>)",18,0.0,0.0,0.0,0.0,0.0,0.0
"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float, false>(int, float, float const*, float const*, float const*, float*, float*, float*)",12,0.0,0.0,0.0,0.0,0.0,0.0
"void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul> >(int, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul>)",18,0.0,0.0,0.0,0.0,0.0,0.0
"void at::native::vectorized_elementwise_kernel<4, at::native::(anonymous namespace)::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase&, float)::{lambda(float)#2}, std::array<char*, 2ul> >(int, at::native::(anonymous namespace)::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase&, float)::{lambda(float)#2}, std::array<char*, 2ul>)",6,0.0,0.0,0.0,0.0,0.0,0.0
"void at::native::vectorized_elementwise_kernel<4, at::native::tanh_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::tanh_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>)",6,0.0,0.0,0.0,0.0,0.0,0.0
"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char*, 2ul> >(int, at::native::CUDAFunctorOnSelf_add<float>, std::array<char*, 2ul>)",6,0.0,0.0,0.0,0.0,0.0,0.0
"void at::native::vectorized_elementwise_kernel<4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 3ul> >(int, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 3ul>)",6,0.0,0.0,0.0,0.0,0.0,0.0
aten::alias,1,0.002138999999999214,0.002138999999999214,0.0,0.0,0.0,0.0
aten::linear,1,0.00619499999999789,0.14878499999999986,0.0,0.0,0.0,0.0
aten::t,1,0.005868000000000393,0.011582000000000335,0.0,0.0,0.0,0.0
aten::matmul,1,0.015690000000002327,0.13100800000000162,0.0,0.0,0.0,0.0
aten::mm,1,0.08671999999999934,0.11053499999999986,0.0,0.0,0.0,0.0
aten::_unsafe_view,1,0.0025929999999989377,0.0025929999999989377,0.0,0.0,0.0,0.0
